zip_code,violations,current_demerits,inspection_demerits,inspection_grade,current_score,inspection_score,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
89183,7,14,13,A,95.0,95.0,4.0,54,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,0,-1,0,0,-1,1,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89104,86,139,191,A,95.0,90.55555556,2.5,118,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1
89148,53,86,115,A,95.0,90.71428571,3.5,210,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,1,1,1,-1,2,-1,-1,-1,1,1,-1,0
89103,9,20,20,B,85.0,85.0,3.5,103,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,1,1,2,1,1,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
89119,32,60,69,A,95.0,94.0,4.0,98,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,1,0,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
89142,7,15,22,A,95.0,95.0,4.0,6,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89103,1,0,0,A,95.0,95.0,5.0,15,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
89101,17,18,45,A,95.0,95.0,3.5,59,-1,-1,1,2,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,1
89121,36,24,130,B,95.0,85.0,2.0,7,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,0,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89106,23,50,58,A,95.0,93.0,4.0,13,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,1,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89130,63,96,109,A,95.0,92.69230769,2.5,68,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,1,-1,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
89102,55,92,139,B,95.0,86.78571429,4.5,1096,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,3,-1,-1,-1,-1,1,-1,1
89119,16,0,29,A,95.0,95.0,3.0,94,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89119,32,36,79,B,95.0,80.0,3.0,4,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89129,128,108,212,A,95.0,90.55555556,2.5,51,-1,-1,0,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,0,0,-1,1,1,2,0,1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89147,38,39,86,A,95.0,94.16666667,3.5,360,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,0,0,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,1,0,0,0,-1,2,-1,1,-1,-1,1,-1,1
89121,1,1,1,A,95.0,95.0,5.0,28,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89146,113,132,274,B,95.0,89.54545455,3.5,39,-1,-1,2,0,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
89110,21,80,53,B,95.0,89.54545455,4.5,5,-1,-1,2,0,-1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,0,-1,0,-1,-1,-1,1,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89183,55,114,125,A,95.0,92.85714286,3.5,200,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,-1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
89183,55,114,125,A,95.0,92.85714286,3.5,24,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
89120,101,120,233,B,95.0,87.0,4.5,143,-1,-1,0,1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,0,0,-1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1
89118,28,56,52,A,95.0,95.0,3.5,11,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,1,1,1,0,0,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
89118,28,56,52,A,95.0,95.0,3.5,35,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,0,-1,1,0,-1,1,1,1,0,0,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,1,-1,0
89131,36,78,75,A,95.0,93.57142857,3.0,26,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,2,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
89103,161,74,333,B,95.0,88.2,4.0,696,-1,-1,0,1,-1,-1,-1,1,0,1,0,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,1,1,1,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,1,1,-1,1
89139,34,33,75,A,95.0,93.46153846,2.0,15,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
89139,34,33,75,A,95.0,93.46153846,4.0,16,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,2,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
89139,34,33,75,A,95.0,93.46153846,3.0,34,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
89139,34,33,75,A,95.0,93.46153846,4.0,25,-1,-1,-1,-1,-1,-1,-1,0,-1,1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1
89141,3,8,8,A,95.0,95.0,2.5,30,-1,-1,0,0,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,0,1,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89101,19,0,41,A,95.0,91.25,3.0,39,-1,-1,2,2,-1,-1,3,0,-1,1,2,-1,-1,0,-1,-1,0,-1,1,-1,-1,-1,1,1,1,3,-1,1,-1,-1,-1,1,2,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89119,10,18,19,A,95.0,95.0,3.0,31,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,1,2,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89101,108,143,305,B,95.0,84.04761905,4.5,157,-1,-1,2,1,-1,-1,-1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1
89117,20,57,43,A,95.0,95.0,3.5,47,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,3,-1,-1,1,-1,0,-1,0,0,-1,1,1,1,1,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,1,1
89149,20,81,45,A,95.0,95.0,4.0,91,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89147,26,18,58,B,95.0,86.66666667,1.5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89123,31,27,59,A,95.0,93.88888889,4.0,231,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,3,-1,1,0,-1,0,-1,0,0,-1,1,1,2,1,1,1,-1,1,0,0,0,-1,3,-1,-1,-1,1,1,-1,-1
89119,59,0,185,B,95.0,86.0,3.5,206,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
89128,81,44,180,A,93.0,90.0,3.0,35,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,0,1,2,-1,0,0,-1,0,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89103,24,0,50,A,95.0,94.0,3.0,14,-1,-1,2,0,-1,-1,0,0,0,1,0,-1,1,0,-1,-1,-1,-1,0,1,-1,-1,0,1,1,1,-1,0,-1,-1,1,1,2,0,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
89117,12,21,22,A,95.0,95.0,4.0,96,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,0,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,0,1,1,0,0,1,-1,1,0,1,1,-1,2,-1,-1,-1,1,-1,-1,-1
89117,12,21,22,A,95.0,95.0,3.5,13,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89117,14,28,43,A,95.0,90.0,3.0,20,-1,-1,1,0,-1,-1,-1,1,0,1,1,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89104,76,111,178,B,95.0,86.42857143,4.0,1492,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
89102,145,188,276,B,95.0,87.17391304,2.0,532,-1,-1,0,1,0,1,-1,0,-1,0,1,-1,0,-1,0,-1,0,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1
89134,13,24,25,A,95.0,95.0,3.5,21,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89107,53,49,135,A,95.0,92.5,4.5,276,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,1,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
89117,2,3,3,A,95.0,95.0,2.5,19,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,-1,1,-1,0,-1,-1,1,1,2,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89115,61,3,114,A,95.0,91.875,3.5,20,-1,-1,0,2,-1,-1,-1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,2,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
89108,27,41,57,A,95.0,95.0,3.5,199,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,2,1,1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89103,39,120,92,B,95.0,84.58333333,4.0,1031,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,3,-1,1,-1,-1,1,-1,-1
89147,115,160,243,B,95.0,89.5,3.5,155,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,0,-1,0,0,-1,1,1,1,0,0,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0
89119,40,72,89,A,95.0,91.25,2.5,35,-1,-1,0,0,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,0,0,-1,1,1,2,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89107,12,0,18,A,95.0,95.0,4.0,5,-1,-1,0,-1,-1,-1,3,1,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,0,-1,1,1,-1,1,-1,0,0,-1,-1,1,2,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89128,33,102,79,A,95.0,94.23076923,4.0,428,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,2,0,0,1,-1,1,0,0,1,-1,3,-1,1,-1,1,1,-1,-1
89123,121,116,311,B,95.0,88.80952381,3.5,461,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,1,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,1,-1,1
89122,49,75,93,A,95.0,93.33333333,2.5,5,-1,-1,2,0,-1,-1,3,1,-1,1,0,-1,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,0,0,-1,0,1,1,0,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
89146,80,55,173,B,95.0,87.72727273,4.0,36,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,0,0,0,0,-1,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89103,58,72,121,B,95.0,85.0,3.0,31,-1,-1,0,1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,1,1,2,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89135,21,26,35,A,95.0,95.0,4.0,461,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,1,0,-1,-1,1,-1,0,1,2,-1,0,1,1,1,-1,1,0,-1,0,1,2,1,1,1,0,1,1,0,-1,1,2,-1,-1,0,-1,-1,-1,-1
89128,9,0,7,A,95.0,95.0,4.0,84,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,2,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89103,32,84,63,A,95.0,94.0,3.5,70,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
89130,43,117,90,A,95.0,93.46153846,3.0,16,-1,-1,2,0,-1,-1,1,1,-1,1,1,-1,1,0,-1,-1,0,-1,0,1,-1,-1,1,1,0,1,-1,0,0,-1,0,1,2,0,-1,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
89117,74,36,174,A,95.0,90.26315789,2.5,48,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,3,-1,-1,0,-1,0,-1,0,0,-1,0,0,1,0,0,1,-1,-1,0,0,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
89117,74,36,174,A,95.0,90.26315789,3.0,61,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,4,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,-1,0,0,0,-1,4,-1,-1,-1,-1,-1,-1,0
89117,74,36,174,A,95.0,90.26315789,3.0,74,-1,-1,0,1,-1,-1,-1,1,-1,1,0,-1,1,-1,-1,-1,0,-1,-1,1,5,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,0,-1,-1,5,-1,-1,-1,1,1,-1,0
89117,25,84,51,A,95.0,94.0,3.5,204,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,1,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,-1,1,1,0,-1,3,-1,1,-1,-1,1,-1,1
89102,261,0,579,B,95.0,84.70588235,4.0,1410,-1,-1,2,1,0,1,-1,1,-1,1,1,-1,0,-1,0,-1,0,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,1,0,1,2,1,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,1,-1,-1
89110,44,96,90,B,95.0,83.33333333,2.0,13,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,0,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89147,21,8,40,A,95.0,94.16666667,4.0,128,-1,-1,2,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,1,0,-1,1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89106,44,45,134,B,95.0,89.44444444,3.5,209,-1,-1,1,1,0,1,-1,1,-1,1,1,-1,0,-1,0,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89101,56,3,152,A,95.0,90.33333333,4.5,3,-1,-1,-1,0,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89121,28,30,56,A,95.0,94.0,4.0,13,-1,-1,2,0,-1,-1,2,1,-1,0,0,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,1,1,0,-1,1,-1,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1
89102,99,60,196,B,95.0,86.17647059,3.5,25,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,1,2,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,-1,0,0,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
