Accepts Apple Pay,Accepts Google Pay,Gender Neutral Restrooms,Good For,Good for Working,Has Gluten-free Options,Has Pool Table,Liked by Vegans,Liked by Vegetarians,Offers Military Discount,Waiter Service,business_id
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,oYWixgv1kiPV1j02TYzaPA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,mVIU34pAjLCmRpftGPaH1A
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3AEWSso6YdRb00SICNKn7Q
No,Null,Yes,"Brunch, Lunch",Null,Null,Null,Null,Null,Null,No,nGjqCFbLPeBJe55Mx-nIEw
Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,ru35Z92NtGynsmw0iZDarQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ygW1BY7co1ioTKmeWzJt-Q
Null,No,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No,RZGxU6bCoqgbi7xVB_UckQ
No,No,Null,"Breakfast, Lunch",Null,Yes,Null,Yes,Yes,Null,No,Qy_tDaVTWlS14fEglzo1Tg
No,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,AeOHcC1tKrogRUfKJ8OCqg
Null,Yes,Null,Null,Null,Null,Yes,Null,Null,Null,No,l3oWxCf7Y-X-fgAxNVR7-A
No,Null,Yes,"Brunch, Lunch, Dinner",Null,Yes,Null,Yes,Null,Null,Yes,y2plF1wqtEiOdzArakENfg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,gqqHdBJqOVHDMy3jAdSkmw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,vWcDq3HDcN8PsoErage4jA
No,No,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,G8LBVca1vOBKYeMCMpajGA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,YnrJNjZsLIhvldYHtkxKrA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,AQKOuwrOCacAhd-jfFMABA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8pLlsYgvrC5SJL1Con8FYw
No,Yes,Null,Dessert,Null,Null,Null,Null,Null,Null,Null,9GPTELAPPpT5vUxad9AoCw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JCiglfoF09JqfR_gn6XYcA
No,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,8eSmXnZG0N1GRsqiFeU9uA
Yes,No,Yes,"Breakfast, Dessert",Yes,Null,Null,Null,Yes,Yes,No,ybHlmdUHLPKfv85bRK4Wtw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,r-KT6NlBbfxR_L3t98qiDQ
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,iRFaq249LVEFGeXLzPULnQ
No,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,X6TD8xLS_KMneyOGquOSVQ
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,64o_nYvzIKwHFOSYSEm-qw
No,Yes,Yes,"Breakfast, Brunch, Lunch, Dinner",Null,Yes,Null,Yes,Yes,Null,Null,tXqaK0lBEE1XJbzDPsdFvg
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,No,2HxaDXZmAOH6LiuzGgNdPA
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,5T0h9YCsXiDZyBsVIN9gcg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,fDpiXePaeKqbOfoxXxUKyw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,zd4UKCoCc6P1305dummwyQ
No,No,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,dVhGY-mNwTWQzK01Zxuclw
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Yes,4k3RlMAMd46DZ_JyZU0lMg
No,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,U_svUGP1XhMTC0_GTZXpGA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,lmNpuLiA6Jtn3lL2Ec43Qw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ezuzSOrWu3KhFKTtVAMWlQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0IbboCQAEQlROAv5PKKO_Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,oQwadWTYQWahuj9N-68yPA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,MQiNywdecInMlkW06WYaCg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,BthL-DpmauWs0-tDewBWug
No,Yes,Null,"Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,JyxHvtj-syke7m9rbza7mA
Yes,Yes,Null,"Lunch, Dinner",Null,Yes,Null,Null,Null,Null,Null,GxfgOFgUhv2rfr3FXVWfCg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Asy49gKgikq_NkYsC_7c0Q
No,Null,Null,"Breakfast, Lunch, Late Night",Null,Null,Yes,Null,Null,Null,Null,fzpnaYOqBDjKnnAgFcgR8A
Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,1nM-ES-xVqL0yQGTCwtd-Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,07gh-AImcEcWQ2bew-jprg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,n0yMrpye4tLpmaTSzXRGuw
No,Null,Null,Dessert,Null,Null,Null,Null,Null,Null,No,TUpyKJFqL_ySZMo54pT-Sw
No,Null,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Yes,yo8yB3hdqvbvj8huzXpKWQ
No,Null,Null,Dinner,Null,Null,Null,Yes,Yes,Null,Null,t4bBKVXbr8bIN9nEJIobYg
Yes,Null,Null,Dinner,Null,Null,Yes,Null,Null,Null,Null,w0ArxcJ0XsyK1ZwrIf3gpA
Null,Null,Null,"Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,RQu_Bv7EFf5NKMnh_3E7Ag
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,QteBKpZTRa2dJ3u7MLiXww
No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,No,5gv6AqHXfi3gJV4fb432Vw
No,No,Null,Null,Null,Null,Null,Null,Yes,Null,Null,5TY-YMiAXgBjmP_y4AiXhg
Null,Null,Yes,Lunch,Null,Null,Null,Null,Null,Null,Null,217u7Wad7y90x4el26-TIw
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,6hsXF2bRmrstSmwuHwI-kw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,vRFYqRz5F41ici5IOO2_pg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,TSNvD7vyrknurZ8H05iyVQ
Yes,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,k1l25o628GYC9BrnRzv1Tw
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Ub8goFppwZkOGTpfoWF4JA
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,c2l80imPWR8V6gIEM02XPg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,BUoV8s0j22KD_PzLm8BlkA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,LA9KIu-g3VaoFQsYHL2yRA
No,No,Yes,"Breakfast, Brunch, Lunch",Yes,Null,Null,Yes,Yes,Null,Null,hIUKufhwR6Ifn7bi0-phLA
No,No,Null,Null,Null,Null,Null,Null,Yes,Null,Null,bG-JFEQjr0pAcgdz7eHkZw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ROZCc1XMuAJpyhvTxotQ6w
Yes,Null,Null,"Lunch, Dinner, Late Night, Dessert",Null,Null,Null,Null,Null,Null,Null,dFmaYj3_cZpmEaL4WSOkPg
No,No,Null,"Breakfast, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,UANNbspNsQEFUay5nALZYw
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Yes,eRjcli4nDHRwhByViUz9Ow
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,R7LyTeiOHLyTNkA8HssBRQ
Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Y3mYtN9A_BPiz3DHX8868A
Null,No,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Yes,Yes,YkAcruXbhN6sHDXn0jcySw
Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,yie1IIw2dlfy5n6ywvHUvw
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JXvLE5CRN88sccZtNeMIrQ
Null,Null,Null,"Breakfast, Lunch",Null,Null,Null,Null,Null,Null,Null,bUEc1ZDgfZPymHyUXEiiNg
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JXvLE5CRN88sccZtNeMIrQ
Null,Null,Null,"Breakfast, Lunch",Null,Null,Null,Null,Null,Null,Null,bUEc1ZDgfZPymHyUXEiiNg
Null,Null,Null,Dinner,Null,Null,Null,Null,Null,Null,Null,VpFUraD3fuFY9qCcvgMntA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,GClknRUsIYiT-PS0ICRzYg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,MoaI-2jJCVoiSD0nCi2qdw
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Yes,SgSVJWgMwFteYyz4OlHu9Q
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,4l1cmNrXBOLVUJR29MDp3A
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,YPCbxsAPYOo3kRMbhfxFzw
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,gloqQrObDeVaL_o3hb35PQ
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,AurgTYGyCItvvgFp9NQBag
Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,P4MSmTvAVeW3is2RORWosA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,47Ce56CE_NnzdmCozdMQng
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null,ZBPwZv0QFWF9QGyR7LbIsA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,tmHsUSpJX1UxroS-dGHlMg
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,w5LUtmw4G1KD7qAntqGd9w
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,zt9RLUIU32fZYOBh2L0NNQ
No,No,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Yes,Null,Null,OFNXLfKbnsh7zV6Iu3EbyA
No,No,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,VmspRdKauEargr8YX1oL-Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,D1J0-sFI1ul-9l3CwjvvwA
No,Null,Null,"Breakfast, Brunch, Lunch, Dinner, Dessert",Null,Null,Null,Null,Yes,Null,Yes,3rj1qpgFvkRWtAka17mhEQ
No,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,DV13F0bhe55dV1AhwoO50g
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,1bALsE6aZE23mGV2WPxN_g
No,No,Null,"Brunch, Lunch",Null,Null,Null,Null,Yes,Null,Null,OHFH6ALQqq35NiEbD1eXuw
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JsAR0hNX-5zA-CMsYW4NLQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,pRlO48w4GkWEPEYIH2tHsw
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null,HUWLnKD5LSZY134amUO2Rg
No,Null,Null,"Breakfast, Dessert",Yes,Null,Null,Null,Yes,Null,No,rq5dgoksPHkJwJNQKlGQ7w
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,FvC3W9E6rXUYx-cTxbnUiA
Yes,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,87YsVbCN_kfzheY79Fzjkg
Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,qKn9nynsVYIST8rf6tEFRQ
No,No,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Yes,Null,Yes,0w3BdEOxvwKTpypwbN5kiQ
Yes,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,hrNIDao4XnOhrv7aaFehTg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,nV2EI2KtETq3eLUZsK3NSQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,stbX9rtRIpDF-VymOwHJ8w
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,Ve_qB9oxIbJfd-v7MImBlQ
Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,OGQ_6nIn4QQL2U6t0XeHtA
Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,iIwMJdDuExGrOqkSAyPb9A
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,PB7Fc2yCSjrELsrBJWKCSA
Yes,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,1i9T1uoG_J3aRfprALvNGQ
Yes,Yes,Yes,Lunch,Null,Null,Null,Null,Null,Null,Null,Oqqnw0Rz77sMDPHS_eN2aA
No,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Null,Yes,Yes,Null,Null,atVh8viqTj-sqDJ35tAYVg
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0K4tCSMV6BqFxOsgZFqfVw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,x_L9NCBxx4Mb4cOnnRMibw
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,Lt_ytMJKMQ3lpBDYaANreA
Null,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,CLthP1yn32xlBswIbsLIjQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,vATbGMxLd9cZ3VY_GZAIJw
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,qjyOjCHG9lOkZnAa8jIQ1g
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,pi4FLFEOn9AhNUxiLbBeHg
No,No,Null,Null,Null,Yes,Null,Yes,Yes,Null,Null,Ed47ZME7NcLTZeIBUYsdog
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0jriM09IvPdCLgr509vbrQ
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,xmeEyBVC5zN-FCX5qZviIQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,APkr8bzYE0xiePqmAqPzYg
Yes,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,JXWDWoW4dDGcbaU2BQq8Og
Null,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,l4qomOr-2ZDOjWXSZXpzZg
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4aAf2nAr86lcDHzqWSaYuQ
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,A0X1baHPgw9IiBRivu0G9g
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Yes,M30I1NPl5JuHthxo1IXPGg
Yes,No,Null,Null,Yes,Null,Null,Null,Yes,Null,Null,bcJmbFHVAkLFqhJbUTdbyQ
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,UPIYuRaZvknINOd1w8kqRQ
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,ifkCEpYaSAUT3WVQNxwvXA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9iNZ2o5jt-zpdMoAOgd7_g
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,qRymrsLmlA34bC8PvNoujg
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,qRymrsLmlA34bC8PvNoujg
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,m51uL1LZhKYf2y_yG4NEng
No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,rx1AEnleVRWMNz6vB-YhfQ
No,No,Null,"Lunch, Dinner",Null,Yes,Null,Yes,Yes,Null,No,mmbXj7CmjGbH-wR3j6cD0w
No,No,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,9V9RlgqqnPFQJfF_e9Lnmw
No,No,Null,Dinner,Null,Null,Null,Null,Yes,Null,Yes,So132GP_uy3XbGs0KNyzyw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Ufa7MJ3yDDIMFkYctnhT8Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,IeJWawvw4oAb9EjAP-W5hA
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,7UtqNjjd9D6oU7UcT2nxig
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,7UtqNjjd9D6oU7UcT2nxig
No,No,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,CVECSCW-7zDzjpIPxsew4g
No,No,Null,"Lunch, Dinner, Dessert",Null,Null,Null,Null,Null,Null,Null,N0l-6kdgRXEskiGw3ab05A
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,q7iF6omNtpaeBXZscLuBxQ
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,DzKl51tivGJMLiNsQqf38w
No,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,5eqm4pyz-egd255X7PB8Xg
No,Null,Yes,"Breakfast, Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,1M1A-s6BbnzK3eURw01rZQ
No,No,Null,Null,Null,Null,Null,Yes,Yes,Yes,Null,rVi34tu0bITsoxMMT9QhUw
No,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,zKqWjDZHo-lk7_E3hHkORg
Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,jozzH4XCEM9yQFjLAc3_zA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,jgtEoeE2uoA27J_UvbE20g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,YnYS1dISBoLpA_VUSjOzEQ
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,PJ-VbAtIOso1dqd2frQqqg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DZN44_XFktITlIUec4H69w
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,VFVyecs0nMFA4xizXkzvKA
Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,JhQvfo_WfX10TG9_7VO14g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,RAU2fPJ852Z241SXP-Wfew
Yes,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,xTlmLL2xZZ0xhZ2J16zXQQ
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,C1jQ5CbszJkS_cyWgaRVGQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,_cBlppMDZYXS-Bjj4l9qtw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,kkiDLkFutKeJqv15yag7_w
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,kds044HPuEB_HzoR_EHLeQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,kkiDLkFutKeJqv15yag7_w
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,kds044HPuEB_HzoR_EHLeQ
Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,PEGtD36MLdfcsD2hc95Kiw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4aGIU5eD6iTsmNqKVvlLOg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,xq0RhDKNNUg8t3JJUqX3fw
No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,ppasQEo3jPkBdwdRGVd9WQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4aGIU5eD6iTsmNqKVvlLOg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,xq0RhDKNNUg8t3JJUqX3fw
No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,ppasQEo3jPkBdwdRGVd9WQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,CWNMLT-ppaUjLMmrnYDPVg
No,No,Yes,"Lunch, Dinner, Dessert",Null,Null,Null,Yes,Yes,Null,Yes,q5sa3zjAwIYMAgfPVxOdHw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,zfNKdsuT7bWWN-f3v5Rj_g
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null,ixAh9crILnJ9tM8LhWFhkw
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,No,NfM1YE-FJCToO1LB36T6lQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ZfBKZPd2rdpW19m91YnHXw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,WUHziAfNsIe73A43q5Xijg
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,5Lcit9Zt6TF9bmKoFMhF0g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,FiEUjd-X95z0GfXCpdtQkA
No,No,Null,"Breakfast, Brunch, Lunch, Dinner, Dessert",Null,Null,Null,Null,Yes,Null,Null,nTc-Qj_-ABZrpM9YSpJ6jA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,RDQpH7J6PBpVzE9pNDKcoA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JcWzvvDWh4RY04tvm1LQzA
Null,Null,Null,Brunch,Null,Null,Null,Null,Null,Null,No,QqrmTtv2OXWFRlqRCG4FRA
Null,Null,Null,Breakfast,Null,Null,Null,Null,Null,Null,Null,HKSyA7YZplj9i_vIdtwyzg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,fg_KGtLwAw2IpXin0KdAZA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Wpt0sFHcPtV5MO9He7yMKQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JcWzvvDWh4RY04tvm1LQzA
Null,Null,Null,Brunch,Null,Null,Null,Null,Null,Null,No,QqrmTtv2OXWFRlqRCG4FRA
Null,Null,Null,Breakfast,Null,Null,Null,Null,Null,Null,Null,HKSyA7YZplj9i_vIdtwyzg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,fg_KGtLwAw2IpXin0KdAZA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Wpt0sFHcPtV5MO9He7yMKQ
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,966W5oXOBW0ZWhNYy0yjcA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,oe6srp_GGRncy5ODHNfW0g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9hNuOUywLPHdSbAXtQ9DhQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,opwxvFwYTppE0JgfM4FBlw
Null,No,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null,qhbUNmiGKmw343Fj7qlEsQ
Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,e9gaoUQEws5tmQROZodZMg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,HBjjGbfBvZ1FU1AaUWyJYQ
