name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi
Dad's Grilled Cheese,Dad's Grilled Cheese,Restaurant,5255 S Decatur Blvd,Las Vegas,Nevada,89118,14,18,38,JhQvfo_WfX10TG9_7VO14g,Spring Valley,3.5,62,Null,Null,0,0,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,2,Null,Null,Null,Null,Null,Null,0,0,Null,1,1,1,1,1,1,Null,1,1
Samurai Sam's,Samurai Sam's,Restaurant,1910 Village Center Cir,Las Vegas,Nevada,89134,9,32,26,RAU2fPJ852Z241SXP-Wfew,Summerlin,3.0,11,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,Null
Holley's Cuppa,Holley's Cuppa,Restaurant,9265 S Cimarron Rd 115,Las Vegas,Nevada,89178,33,27,75,xTlmLL2xZZ0xhZ2J16zXQQ,Southwest,4.0,320,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null,Null,1,Null,1,1
Swish,SWISH,Restaurant,7875 W SAHARA,Las Vegas,Nevada,89117,66,62,148,C1jQ5CbszJkS_cyWgaRVGQ,Westside,3.5,207,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,1,1
El Buen Gusto,El Buen Gusto,Restaurant,1593 N Eastern Ave,Las Vegas,Nevada,89101,67,102,188,_cBlppMDZYXS-Bjj4l9qtw,,3.0,8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Wetzel's Pretzels,Wetzels Pretzels @ LV OUTLET CENTER,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,1,0,0,kkiDLkFutKeJqv15yag7_w,Southeast,2.5,3,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null
Wetzel's Pretzels,Wetzels Pretzels @ LV OUTLET CENTER,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,1,0,0,kds044HPuEB_HzoR_EHLeQ,Southeast,3.5,9,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null
Wetzel's Pretzels,LV Outlet Mall - Wetzels Pretzels,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,21,24,26,kkiDLkFutKeJqv15yag7_w,Southeast,2.5,3,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null
Wetzel's Pretzels,LV Outlet Mall - Wetzels Pretzels,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,21,24,26,kds044HPuEB_HzoR_EHLeQ,Southeast,3.5,9,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null
Sofia's Pizza,SOFIA'S PIZZA,Restaurant,7365 W SAHARA,Las Vegas,Nevada,89117,26,105,70,PEGtD36MLdfcsD2hc95Kiw,Westside,2.5,82,Null,Null,0,0,Null,Null,Null,0,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,1,0,Null,1,1,2,1,1,1,Null,Null,1
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,3102 N Las Vegas Blvd,Las Vegas,Nevada,89115,64,36,158,4aGIU5eD6iTsmNqKVvlLOg,,4.0,9,Null,Null,0,Null,Null,Null,Null,0,Null,1,Null,Null,0,Null,Null,Null,Null,0,Null,1,0,Null,Null,1,Null,Null,Null,0,0,Null,0,1,1,0,Null,1,Null,Null,0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,3102 N Las Vegas Blvd,Las Vegas,Nevada,89115,64,36,158,xq0RhDKNNUg8t3JJUqX3fw,Sunrise,2.0,24,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,Null,0,Null,1,Null,0,0,1,0,1,1,0,0,1,Null,1,0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,3102 N Las Vegas Blvd,Las Vegas,Nevada,89115,64,36,158,ppasQEo3jPkBdwdRGVd9WQ,,3.0,37,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,4,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4955 E Craig Rd 2,Las Vegas,Nevada,89115,73,0,176,4aGIU5eD6iTsmNqKVvlLOg,,4.0,9,Null,Null,0,Null,Null,Null,Null,0,Null,1,Null,Null,0,Null,Null,Null,Null,0,Null,1,0,Null,Null,1,Null,Null,Null,0,0,Null,0,1,1,0,Null,1,Null,Null,0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4955 E Craig Rd 2,Las Vegas,Nevada,89115,73,0,176,xq0RhDKNNUg8t3JJUqX3fw,Sunrise,2.0,24,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,Null,0,Null,1,Null,0,0,1,0,1,1,0,0,1,Null,1,0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4955 E Craig Rd 2,Las Vegas,Nevada,89115,73,0,176,ppasQEo3jPkBdwdRGVd9WQ,,3.0,37,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,4,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0
Roy's Restaurant,Roy's Restaurant and Bar,Restaurant,8701 W Charleston Blvd,Las Vegas,Nevada,89117,11,12,25,CWNMLT-ppaUjLMmrnYDPVg,Westside,4.0,96,Null,Null,2,2,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,0,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,3,1,1,1,Null,1,0
Khoury's Mediterranean Restaurant,Khoury's Mediterranean Restaurant,Restaurant,6115 S Fort Apache Rd A100,Las Vegas,Nevada,89148,37,27,91,q5sa3zjAwIYMAgfPVxOdHw,Spring Valley,4.0,264,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,0,1,2,1,1,1,Null,1,1
Bentley's Coffee,Bentleys Coffee,Restaurant,2840 E Tropicana Ave,Las Vegas,Nevada,89121,13,36,63,zfNKdsuT7bWWN-f3v5Rj_g,Eastside,4.0,10,Null,Null,0,0,Null,Null,Null,Null,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1
Archi's Thai Bistro,Archi's Thai Bistro,Restaurant,6345 S Rainbow Blvd 100,Las Vegas,Nevada,89118,89,247,241,ixAh9crILnJ9tM8LhWFhkw,Spring Valley,4.0,733,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,1,0
Jason's Deli,Jason's Deli,Restaurant,7305 Arroyo Crossing Pkwy,Las Vegas,Nevada,89113,28,34,55,NfM1YE-FJCToO1LB36T6lQ,Spring Valley,3.5,170,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,1,0,0,1,Null,1,0
Broadway Pizzeria,Broadway Pizzeria,Restaurant,8125 W Sahara Ave,Las Vegas,Nevada,89117,14,45,32,ZfBKZPd2rdpW19m91YnHXw,Westside,4.5,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,1,Null,0,Null,Null,Null,0,Null,0,1,1,Null,Null,Null
Chubby's Pub,Chubbys Pub,Bar / Tavern,4702 E Flamingo Rd,Las Vegas,Nevada,89121,47,8,84,WUHziAfNsIe73A43q5Xijg,Eastside,3.0,4,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,0,Null,Null,Null,Null,Null
Noodle Pot,Noodle Pot @ CHINATOWN PLAZA,Restaurant,4215 Spring Mountain Rd,Las Vegas,Nevada,89102,157,120,344,5Lcit9Zt6TF9bmKoFMhF0g,Chinatown,4.0,338,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,1,1,Null,1,1
Yo Fresh Yogurt Cafe,Yo Fresh Yogurt Cafe,Restaurant,4985 W Tropicana Ave,Las Vegas,Nevada,89103,10,27,19,FiEUjd-X95z0GfXCpdtQkA,,3.5,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,1
Chow King,Seafood City - Chowking,Restaurant,3890 S Maryland Pkwy,Las Vegas,Nevada,89119,61,108,121,nTc-Qj_-ABZrpM9YSpJ6jA,Eastside,3.0,119,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,4,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,0,0
Peppers Mexican Grill,Peppers Mexican Grill,Restaurant,6883 S Eastern Ave,Las Vegas,Nevada,89119,11,16,16,RDQpH7J6PBpVzE9pNDKcoA,Southeast,4.0,12,Null,Null,0,0,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,0,Null,0,0,Null,0,1,1,0,0,1,Null,1,Null
McDonald's,McDonalds Corporation,Restaurant,2640 E Tropicana Ave,Las Vegas,Nevada,89121,21,0,59,JcWzvvDWh4RY04tvm1LQzA,Eastside,1.5,12,Null,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,0,Null,2,0,0,1,Null,1,1
McDonald's,McDonalds Corporation,Restaurant,2640 E Tropicana Ave,Las Vegas,Nevada,89121,21,0,59,QqrmTtv2OXWFRlqRCG4FRA,,2.0,21,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,1,Null,Null,0,Null,3,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1
McDonald's,McDonalds Corporation,Restaurant,2640 E Tropicana Ave,Las Vegas,Nevada,89121,21,0,59,HKSyA7YZplj9i_vIdtwyzg,Southeast,2.5,36,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1
McDonald's,McDonalds Corporation,Restaurant,2640 E Tropicana Ave,Las Vegas,Nevada,89121,21,0,59,fg_KGtLwAw2IpXin0KdAZA,Eastside,2.0,6,Null,Null,0,0,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,0,Null,1,0,Null,Null,0,Null,3,Null,0,0,Null,0,1,1,0,0,1,Null,Null,Null
McDonald's,McDonalds Corporation,Restaurant,2640 E Tropicana Ave,Las Vegas,Nevada,89121,21,0,59,Wpt0sFHcPtV5MO9He7yMKQ,Eastside,2.0,23,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,0,Null,Null,0,Null,3,Null,0,0,Null,0,0,1,0,0,1,Null,Null,1
McDonald's,McDonalds Restaurant,Restaurant,4934 Boulder Hwy,Las Vegas,Nevada,89121,4,11,11,JcWzvvDWh4RY04tvm1LQzA,Eastside,1.5,12,Null,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,0,Null,2,0,0,1,Null,1,1
McDonald's,McDonalds Restaurant,Restaurant,4934 Boulder Hwy,Las Vegas,Nevada,89121,4,11,11,QqrmTtv2OXWFRlqRCG4FRA,,2.0,21,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,1,Null,Null,0,Null,3,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1
McDonald's,McDonalds Restaurant,Restaurant,4934 Boulder Hwy,Las Vegas,Nevada,89121,4,11,11,HKSyA7YZplj9i_vIdtwyzg,Southeast,2.5,36,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1
McDonald's,McDonalds Restaurant,Restaurant,4934 Boulder Hwy,Las Vegas,Nevada,89121,4,11,11,fg_KGtLwAw2IpXin0KdAZA,Eastside,2.0,6,Null,Null,0,0,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,0,Null,1,0,Null,Null,0,Null,3,Null,0,0,Null,0,1,1,0,0,1,Null,Null,Null
McDonald's,McDonalds Restaurant,Restaurant,4934 Boulder Hwy,Las Vegas,Nevada,89121,4,11,11,Wpt0sFHcPtV5MO9He7yMKQ,Eastside,2.0,23,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,0,Null,Null,0,Null,3,Null,0,0,Null,0,0,1,0,0,1,Null,Null,1
Wendy's Noodle Cafe,Wendy's Noodle Cafe,Restaurant,3401 S Jones Blvd,Las Vegas,Nevada,89146,123,146,253,966W5oXOBW0ZWhNYy0yjcA,Chinatown,4.0,543,Null,Null,1,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,1,1,1,Null,1,1
Michael's Pub,Michael's Pub,Bar / Tavern,4012 S Rainbow Blvd,Las Vegas,Nevada,89103,16,42,49,oe6srp_GGRncy5ODHNfW0g,,4.0,23,Null,Null,2,0,Null,Null,3,Null,Null,1,1,Null,Null,0,Null,Null,Null,Null,0,1,0,Null,1,1,1,1,Null,0,0,Null,0,1,2,Null,1,0,1,1,0
Slices Pizzeria,Boulder Station - Slices Pizzeria,Restaurant,4111 Boulder Hwy,Las Vegas,Nevada,89121,35,88,100,9hNuOUywLPHdSbAXtQ9DhQ,,3.0,12,Null,Null,0,0,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,0,Null,Null,0,Null,3,Null,Null,0,Null,0,1,2,0,0,1,Null,Null,1
Pumi Express,Pumi Express,Restaurant,6565 S Fort Apache Rd 175,Las Vegas,Nevada,89148,36,54,79,opwxvFwYTppE0JgfM4FBlw,Spring Valley,3.0,35,Null,Null,1,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,0,1,1,Null,Null,0
Harvest Cafe,Harvest Cafe,Restaurant,4835 W Craig Rd 3-D,Las Vegas,Nevada,89130,70,104,147,qhbUNmiGKmw343Fj7qlEsQ,Northwest,4.0,82,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,0,Null,0,0,Null,0,1,2,0,1,1,Null,Null,0
Manhattan Pizza II,Manhattan Pizza II,Restaurant,4955 E Craig Rd,Las Vegas,Nevada,89115,47,39,87,e9gaoUQEws5tmQROZodZMg,,3.5,54,Null,Null,0,0,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,0,0,1,Null,Null,0
Tacos El Rodeo,Tacos El Rodeo,Restaurant,2115 N Decatur Blvd,Las Vegas,Nevada,89108,85,24,211,HBjjGbfBvZ1FU1AaUWyJYQ,,4.0,12,Null,Null,Null,0,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,Null,Null,0,0,Null,0,1,2,0,1,1,Null,Null,0
Port of Subs,Port of Subs,Restaurant,3281 S Highland Dr 802,Las Vegas,Nevada,89109,40,89,82,NVcQuJ01BRqVeL-GT1UhTg,,2.5,12,Null,Null,0,Null,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,0,0,1,Null,Null,0
Port of Subs,Port of Subs,Restaurant,3281 S Highland Dr 802,Las Vegas,Nevada,89109,40,89,82,0N53m33GANYeHHl-s22d4Q,Eastside,4.0,18,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,0,0,1,0,Null,1,Null,Null,1
Garfield's Restaurant,Garfield's,Restaurant,2620 Regatta Dr,Las Vegas,Nevada,89128,16,36,39,GwKFPfQA5kYcVSnPBpjtzg,Summerlin,3.0,73,Null,Null,2,2,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,0,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,3,1,1,1,Null,1,0
Gritz Cafe,Gritz Cafe,Restaurant,1911 Stella Lake St,Las Vegas,Nevada,89106,42,47,96,gOOc6MDdhw7fV0Tf30mfAQ,,4.5,415,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,0,2,0,0,1,Null,1,0
Russo's Pizza Kitchen,RUSSO'S PIZZA KITCHEN,Restaurant,4950 S RAINBOW 120,Las Vegas,Nevada,89118,42,80,92,I5RoKagQjGYCWgY4_fK_rQ,Spring Valley,4.0,168,Null,Null,1,1,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,0,1,1,Null,Null,1
Tropical Smoothie Cafe,TROPICAL SMOOTHIE CAFE,Restaurant,8426 FARM 150,Las Vegas,Nevada,89131,7,16,16,tNonw3Vy4Ai6qRZpj2lTsA,Centennial,3.0,72,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,Null,Null,0,0,Null,0,1,1,0,Null,1,Null,Null,1
Golden Spoon Frozen Yogurt,Golden Spoon Frozen Yogurt,Restaurant,7175 W Lake Mead Blvd,Las Vegas,Nevada,89128,31,42,77,gVc000GZA5Z4QbFIsXl5OQ,,4.0,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,1,0
Pita Pit,Pita Pit,Restaurant,4680 S Maryland Pkwy 102,Las Vegas,Nevada,89119,26,45,50,3RiFtEJ6AAvS0x_z38HChw,University,4.0,44,Null,Null,0,1,Null,Null,Null,Null,Null,1,0,Null,1,Null,Null,Null,Null,0,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0
Jimmy John's,JIMMY JOHN'S RAINBOW,Restaurant,5463 S RAINBOW,Las Vegas,Nevada,89118,41,122,85,g9IeZKQl0TamGI8772vYAQ,Spring Valley,3.0,97,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,1,Null,1,0,Null,1,0,1,0,0,1,Null,1,0
Kabob Grill,KABOB GRILL,Restaurant,9550 S EASTERN,Las Vegas,Nevada,89123,33,72,66,BwuyBsShSQwO3_-SvW6fRA,,4.0,232,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,0,0,1,Null,1,0
Felipito's Mexican Food,Felipitos Mexican Food,Restaurant,1325 E Tropicana Ave,Las Vegas,Nevada,89119,46,107,111,OzcvQqt_copeLRCT2OHrfA,University,3.5,93,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,0
Firehouse Subs,Firehouse Subs,Restaurant,9555 S Eastern Ave,Las Vegas,Nevada,89123,16,0,29,dPbvWt-6YVxtGkeh7f9JpQ,Southeast,3.5,129,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,0
Firehouse Subs,Firehouse Subs,Restaurant,9555 S Eastern Ave 130,Las Vegas,Nevada,89123,1,0,0,dPbvWt-6YVxtGkeh7f9JpQ,Southeast,3.5,129,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,0
Thai Vegas,Thai Vegas,Restaurant,115 N 4Th St,Las Vegas,Nevada,89101,36,30,96,mwERWE8IqgcmPHg3cpCfNA,Downtown,3.5,24,Null,Null,0,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,0,Null,0,0,Null,1,1,1,0,1,1,Null,1,0
Rosati's,Rosati's,Restaurant,8001 N Durango Dr 110,Las Vegas,Nevada,89143,91,6,208,b7Y4dIggAacPum1tF3NpKg,Centennial,3.5,240,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,1,0,Null,1,1,2,0,1,1,Null,1,1
La Reyna Mexican Restaurant & Mariscos,La Reyna Mexican Rest & Mariscos,Restaurant,745 N Nellis Blvd 1,Las Vegas,Nevada,89110,35,68,81,522GgMvOvzaKCEX6BfAtvg,Sunrise,4.0,30,Null,Null,1,0,Null,Null,Null,1,0,1,2,Null,1,Null,Null,Null,0,Null,Null,1,5,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,1,1,1,Null,1,1
